restaurant_name,city,cuisine,average_cost_for_two,user_rating
Spice Villa,Ahmedabad,North Indian,600,4.3
Pizza Hub,Ahmedabad,Italian,900,4.5
Green Bowl,Surat,Healthy,500,4.2
Burger Point,Vadodara,Fast Food,450,3.9
Royal Thali,Rajkot,Gujarati,700,4.6
Sushi World,Mumbai,Japanese,1800,4.8
BBQ Nation,Pune,Barbecue,1500,4.7
Cafe Mocha,Delhi,Cafe,800,4.1
Dosa Corner,Chennai,South Indian,400,4.4
Biryani House,Hyderabad,Biryani,650,4.5
The Curry Pot,Kolkata,Indian,750,4.3
Chinese Wok,Bengaluru,Chinese,550,4.0
Tandoori Treat,Lucknow,Mughlai,900,4.6
Pasta Palace,Jaipur,Italian,1200,4.4
Street Bites,Indore,Street Food,350,3.8
Ocean Grill,Goa,Seafood,2000,4.9
Punjabi Dhaba,Amritsar,Punjabi,650,4.5
Coffee Stories,Kochi,Cafe,700,4.2
Mexican Fiesta,Noida,Mexican,1400,4.6
Veg Delight,Nagpur,Vegetarian,500,4.1
